wavelength,flux
3805.397,1.568
3806.273,1.042
3807.15,-2.123
3808.026,1.642
3808.904,-0.196
3809.781,3.265
3810.659,1.464
3811.536,2.403
3812.413,-1.76
3813.292,0.711
3814.169,9.29
3815.048,2.247
3815.926,-1.604
3816.806,-1.404
3817.684,1.509
3818.562,3.597
3819.443,3.431
3820.322,3.53
3821.202,3.294
3822.082,1.172
3822.963,-0.05
3823.842,0.995
3824.724,-1.731
3825.604,5.902
3826.484,8.701
3827.366,-0.885
3828.247,1.856
3829.13,8.929
3830.01,5.642
3830.894,-0.348
3831.775,0.555
3832.656,-0.625
3833.54,9.148
3834.422,5.683
3835.306,1.056
3836.189,2.201
3837.073,-2.795
3837.956,-3.466
3838.839,5.446
3839.724,4.697
3840.608,-2.129
3841.493,2.511
3842.377,4.632
3843.263,4.181
3844.147,7.263
3845.031,1.546
3845.918,-1.635
3846.803,2.611
3847.69,3
3848.575,4.55
3849.463,0.864
3850.348,9.571
3851.234,4.59
3852.122,4.27
3853.008,2.968
3853.897,4.439
3854.783,3.376
3855.672,0.066
3856.559,4.515
3857.446,2.654
3858.336,6.999
3859.223,3.358
3860.114,6.67
3861.001,2.259
3861.892,-0.149
3862.78,5.458
3863.669,8.773
3864.56,6.767
3865.449,7.977
3866.34,4.57
3867.23,5.04
3868.121,0.171
3869.011,1.587
3869.901,4.371
3870.794,4.747
3871.684,3.866
3872.577,2.643
3873.468,1.9
3874.361,2.217
3875.252,1.038
3876.144,3.843
3877.038,4.327
3877.93,0.647
3878.824,-4.732
3879.716,-2.89
3880.611,4.18
3881.504,5.39
3882.396,4.891
3883.292,-0.29
3884.185,0.853
3885.081,9.09
3885.975,9.081
3886.871,6.534
3887.765,2.994
3888.659,0.666
3889.556,1.87
3890.451,1.816
3891.348,2.963
3892.243,4.971
3893.141,3.989
3894.036,5.004
3894.934,5.362
3895.83,6.401
3896.726,3.437
3897.625,-0.538
3898.521,-0.3
3899.421,-3.869
3900.318,-1.776
3901.217,3.448
3902.115,3.431
3903.012,2.773
3903.912,3.877
3904.81,2.096
3905.711,-1.075
3906.609,0.577
3907.51,6.373
3908.409,6.989
3909.308,3.659
3910.21,3.738
3911.109,3.516
3912.011,3.416
3912.911,3.834
3913.813,5.594
3914.714,6.998
3915.614,3.778
3916.517,-1.283
3917.418,2.025
3918.322,3.115
3919.223,1.735
3920.127,-0.389
3921.029,0.272
3921.931,0.894
3922.835,1.289
3923.737,4.634
3924.642,6.608
3925.545,1.306
3926.45,4.994
3927.354,1.059
3928.257,0.762
3929.163,0.546
3930.067,3.689
3930.973,6.071
3931.877,3.014
3932.784,-0.713
3933.689,1.44
3934.594,6.184
3935.501,1.568
3936.406,3.655
3937.314,4.438
3938.22,6.169
3939.128,3.492
3940.034,3.093
3940.941,6.045
3941.849,3.022
3942.756,2.508
3943.665,3.542
3944.573,1.921
3945.482,4.797
3946.39,8.087
3947.298,7.254
3948.208,2.617
3949.116,0.672
3950.027,3.239
3950.936,2.679
3951.847,-0.629
3952.756,2.906
3953.665,5.031
3954.577,3.874
3955.487,2.492
3956.399,6.057
3957.309,5.64
3958.221,2.349
3959.132,3.308
3960.045,4.391
3960.956,3.729
3961.867,5.498
3962.781,-1.852
3963.692,1.289
3964.606,6.546
3965.519,2.208
3966.433,2.364
3967.345,5.521
3968.258,1.624
