wavelength,flux
4213.082,10.801
4214.054,9.706
4215.023,8.88
4215.995,10.21
4216.965,6.962
4217.935,8.613
4218.908,9.757
4219.878,8.468
4220.852,8.995
4221.822,10.073
4222.796,11.471
4223.768,12.099
4224.739,10.029
4225.713,14.19
4226.686,10.438
4227.66,10.557
4228.633,9.415
4229.608,9.305
4230.581,10.402
4231.554,9.168
4232.53,7.808
4233.503,8.554
4234.48,7.622
4235.454,10.217
4236.431,9.285
4237.405,10.64
4238.38,12.042
4239.357,9.982
4240.333,12.091
4241.311,10.623
4242.286,8.897
4243.264,9.402
4244.241,9.551
4245.217,10.546
4246.196,9.448
4247.173,9.923
4248.152,9.97
4249.129,9.745
4250.109,11.386
4251.087,9.999
4252.065,6.704
4253.045,5.871
4254.024,8.241
4255.005,10.745
4255.983,11.449
4256.965,11.417
4257.944,11.524
4258.926,6.892
4259.906,9.895
4260.886,11.952
4261.869,11.821
4262.849,10
4263.832,10.864
4264.813,10.511
4265.796,8.997
4266.778,7.982
4267.759,7.95
4268.743,9.288
4269.726,9.506
4270.71,11.522
4271.692,9.415
4272.677,9.425
4273.661,8.784
4274.644,10.047
4275.629,10.687
4276.613,10.589
4277.599,12.132
4278.583,11.953
4279.57,9.807
4280.554,10.486
4281.539,10.411
4282.526,10.136
4283.512,11.496
4284.499,9.076
4285.485,10.74
4286.473,11.937
4287.459,8.457
4288.445,7.935
4289.435,8.552
4290.421,6.338
4291.411,6.891
4292.398,10.399
4293.388,8.473
4294.375,9.673
4295.363,9.508
4296.354,7.928
4297.342,8.413
4298.333,9.886
4299.322,8.519
4300.313,10.929
4301.303,11.411
4302.292,10.283
4303.284,10.828
4304.274,10.485
4305.267,9.322
4306.257,8.115
4307.25,13.491
4308.241,11.572
4309.232,13.768
4310.226,10.815
4311.217,10.936
4312.211,9.319
4313.204,11.253
4314.198,12.429
4315.19,12.076
4316.184,12.674
4317.179,9.687
4318.172,9.104
4319.167,10.944
4320.161,12.559
4321.157,9.154
4322.151,9.048
4323.146,12.002
4324.143,8.906
4325.138,9.709
4326.135,9.883
4327.13,10.717
4328.128,12.712
4329.124,11.881
4330.12,13.058
4331.118,11.225
4332.114,9.896
4333.113,9.061
4334.11,10.542
4335.11,7.903
4336.107,8.591
4337.107,11.477
4338.104,11.417
4339.103,10.218
4340.103,8.171
4341.102,9.392
4342.103,12.655
4343.102,9.815
4344.103,12.109
4345.103,10.466
4346.102,9.231
4347.104,8.17
4348.104,11.214
4349.107,9.316
4350.107,8.902
4351.11,10.849
4352.111,11.415
4353.113,11.473
4354.117,11.472
4355.118,11.709
4356.123,13.226
4357.125,10.857
4358.129,12.494
4359.132,12.833
4360.135,12.622
4361.14,11.638
4362.144,8.82
4363.149,9.022
4364.153,9.138
4365.159,10.178
4366.164,11.089
4367.168,10.176
4368.175,9.588
4369.18,10.305
4370.188,12.144
4371.193,10.847
4372.201,9.965
4373.207,12.054
4374.213,10.955
4375.221,9.978
4376.228,11.097
4377.237,10.161
4378.244,11.385
4379.253,10.947
4380.261,9.335
4381.269,10.556
4382.279,9.994
4383.287,10.425
4384.298,9.764
4385.307,10.26
4386.318,10.294
4387.327,8.342
4388.336,10.865
4389.348,8.02
4390.358,9.338
4391.37,10.489
4392.38,9.204
4393.394,11.685
4394.404,12.684
4395.415,8.447
4396.429,10.292
4397.44,9.473
4398.454,9.151
4399.466,12.11
4400.48,10.037
4401.493,9.253
4402.505,8.94
4403.521,9.761
4404.534,10.58
4405.549,12.354
4406.562,12.086
4407.579,10.073
4408.593,9.834
4409.607,10.17
4410.624,12.025
4411.639,11.206
4412.656,10.351
4413.671,12.646
4414.688,10.762
4415.704,12.389
4416.723,9.529
4417.739,9.034
4418.755,10.111
4419.774,10.301
4420.791,9.427
4421.81,7.937
4422.827,8.49
4423.847,10.44
4424.865,9.681
4425.883,12.508
4426.903,10.702
4427.922,10.27
4428.943,11.204
4429.962,11.985
4430.983,11.074
4432.002,9.234
4433.022,9.025
4434.044,11.564
4435.064,10.781
4436.087,8.626
4437.108,11.01
4438.131,11.591
4439.152,9.306
4440.173,11.364
4441.197,11.805
4442.219,11.149
4443.243,12.048
4444.265,9.073
4445.29,10.119
4446.312,9.026
4447.335,10.611
4448.361,9.942
4449.384,9.652
4450.411,11.323
4451.434,11.027
4452.461,12.301
4453.485,12.736
4454.51,11.315
4455.537,10.507
4456.562,9.032
4457.589,9.882
4458.615,11.063
4459.643,10.025
4460.669,10.91
4461.695,10.789
4462.724,9.216
4463.75,9.329
4464.78,11.366
4465.807,10.937
4466.837,9.287
4467.864,9.921
4468.892,7.218
4469.923,7.985
4470.951,10.656
4471.982,9.987
4473.011,9.69
4474.042,9.602
4475.072,11.591
4476.101,11.457
4477.133,10.385
4478.163,9.692
4479.196,9.874
4480.227,9.734
4481.259,9.538
4482.291,10.219
4483.321,9.873
4484.355,11.437
4485.387,10.24
4486.421,10.789
4487.454,9.506
4488.488,9.62
4489.521,7.992
4490.554,9.785
4491.589,11.639
4492.623,10.32
4493.658,8.989
4494.692,10.029
4495.729,10.224
4496.763,9.052
4497.8,9.043
4498.834,7.311
4499.87,7.455
4500.907,7.015
4501.942,7.706
4502.98,8.53
4504.017,8.416
4505.055,7.848
4506.091,8.152
4507.128,8.28
4508.167,7.894
4509.205,8.546
4510.245,8.93
4511.282,9.271
4512.322,8.501
4513.36,7.621
4514.398,10.808
4515.439,10.744
4516.479,11.088
4517.52,11.223
4518.559,12.254
4519.601,10.083
4520.641,13.617
4521.681,12.903
4522.724,10.105
4523.764,9.574
4524.807,8.762
4525.848,8.881
4526.892,8.465
4527.933,9.6
4528.975,11.298
4530.019,9.155
4531.061,12.359
4532.106,9.941
4533.149,10.719
4534.194,10.511
4535.237,11.878
4536.28,11.597
4537.327,11.356
4538.37,8.609
4539.417,10.884
4540.461,10.014
4541.508,9.829
4542.553,10.8
4543.598,11.221
4544.646,11.443
4545.691,10.135
4546.739,10.62
4547.785,12.682
4548.834,9.361
4549.88,11.495
4550.927,12.36
4551.977,11.085
4553.024,10.611
4554.074,10.622
4555.122,11.363
4556.172,8.603
4557.22,9.185
4558.269,10.963
4559.319,11.138
4560.368,12.571
4561.42,11.649
4562.469,9.969
4563.521,13.539
4564.571,12.876
4565.621,12.891
4566.674,11.315
4567.725,12.429
4568.778,11.995
4569.829,12.891
4570.883,11.479
4571.934,9.449
4572.989,11.682
4574.041,11.127
4575.093,12.219
4576.148,11.263
4577.201,10.727
4578.256,11.957
4579.309,13.207
4580.365,13.374
4581.419,11.244
4582.473,11.891
4583.53,10.839
4584.584,11.068
4585.641,10.093
4586.696,9.991
4587.754,11.581
4588.809,10.03
4589.865,11.673
4590.923,12.741
4591.979,11.351
4593.039,10.844
4594.095,12.025
4595.154,12.522
4596.211,11.394
4597.269,11.085
4598.329,12.618
4599.387,12.036
4600.447,10.002
4601.506,12.466
4602.567,11.482
4603.625,10.407
4604.685,10.01
4605.747,9.925
4606.806,11.555
4607.869,9.949
4608.929,10.328
4609.991,9.703
4611.052,11.287
4612.113,11.931
4613.176,11.519
4614.237,11.571
4615.301,13.06
4616.363,13.93
4617.428,11.893
4618.49,11.524
4619.552,12.515
4620.618,11.736
4621.681,10.055
4622.747,12.097
4623.81,11.518
4624.876,12.815
4625.94,10.702
4627.004,11.132
4628.071,10.839
4629.136,12.137
4630.203,12.17
4631.269,12.963
4632.336,12.517
4633.402,12.884
4634.468,12.655
4635.537,10.23
4636.603,12.857
4637.672,13.691
4638.739,13.364
4639.809,11.052
4640.876,9.705
4641.944,11.165
4643.014,13.324
4644.083,11.733
4645.153,12.684
4646.222,12.323
4647.293,11.787
4648.362,11.872
4649.432,10.852
4650.504,14.23
4651.574,14.738
4652.646,13.099
4653.717,12.885
4654.79,12.031
4655.861,12.335
4656.935,12.818
4658.006,12.944
4659.077,12.71
4660.152,11.447
4661.224,12.622
4662.298,12.036
4663.371,10.567
4664.446,11.562
4665.52,11.697
4666.593,9.497
4667.669,12.33
4668.743,13.358
4669.819,11.729
4670.894,12.615
4671.971,13.977
4673.045,13.05
4674.121,12.089
4675.198,11.745
4676.274,11.564
4677.352,12.342
4678.428,12.79
4679.507,14.222
4680.583,12.406
4681.66,11.606
4682.74,14.722
4683.817,14.483
4684.897,12.264
4685.975,13.999
4687.056,11.734
4688.134,12.417
4689.212,13.071
4690.293,14.527
4691.373,13.08
4692.455,13.197
4693.534,14.248
4694.616,13.794
4695.696,12.537
4696.776,12.519
4697.859,13.856
4698.94,13.762
4700.024,13.325
4701.105,12.867
4702.189,12.3
4703.271,12.659
4704.353,12.196
4705.438,12.44
4706.52,13.407
4707.605,11.556
4708.688,13.94
4709.774,12.607
4710.858,11.688
4711.941,12.737
4713.028,14.343
4714.112,13.297
4715.199,13.693
4716.284,15.228
4717.372,14.811
4718.457,13.878
4719.542,13.911
4720.631,14.139
4721.717,14.547
4722.806,14.285
4723.892,12.856
4724.981,12.683
4726.068,14.014
4727.155,14.607
4728.246,12.428
4729.333,14.796
4730.424,14.13
4731.512,14.13
4732.603,13.454
4733.692,14.39
4734.781,14.585
4735.873,11.737
4736.962,12.488
4738.055,12.542
4739.145,11.157
4740.237,11.783
4741.328,13.944
4742.421,14.121
4743.512,12.42
4744.604,13.151
4745.697,12.255
4746.789,10.984
4747.884,14.326
4748.976,14.514
4750.071,13.059
4751.164,12.548
4752.257,12.364
4753.353,14.34
4754.446,13.257
4755.542,12.144
4756.637,13.519
4757.733,12.583
4758.828,12.645
4759.923,13.484
4761.021,13.592
4762.116,14.16
4763.214,12.019
4764.31,11.947
4765.408,13.913
4766.504,12.812
4767.601,13.178
4768.7,14.87
4769.797,12.941
4770.897,13.434
4771.995,14.647
4773.095,14.749
4774.193,14.034
4775.292,14.754
4776.393,13.476
4777.492,11.776
4778.593,14.546
4779.692,13.553
4780.795,14.415
4781.895,14.244
4782.995,13.786
4784.098,14.524
4785.198,14.891
4786.302,14.393
4787.403,15.671
4788.507,13.962
4789.608,14.357
4790.71,14.207
4791.815,14.041
4792.917,13.911
4794.022,12.073
4795.125,13.232
4796.231,13.279
4797.334,12.388
4798.438,14.652
4799.544,15.001
4800.649,14.417
4801.756,14.537
4802.86,13.65
4803.968,14.218
4805.073,13.146
4806.178,12.619
4807.287,11.809
4808.393,13.533
4809.501,12.33
4810.608,12.017
4811.717,12.833
4812.824,14.548
4813.931,12.605
4815.042,14.514
4816.149,14.069
4817.26,11.578
4818.368,12.78
4819.479,14.334
4820.588,14.827
4821.697,14.7
4822.809,13.161
4823.918,13.558
4825.03,15.376
4826.14,13.775
4827.253,14.838
4828.364,14.9
4829.477,14.68
4830.588,13.49
4831.699,14.415
4832.813,14.366
4833.925,14.556
4835.04,15.165
4836.152,15.277
4837.268,15.827
4838.38,14.015
4839.494,14.498
4840.609,12.665
4841.723,12.806
4842.839,15.872
4843.954,13.61
4845.071,14.93
4846.185,12.704
4847.3,13.73
4848.418,15.268
4849.533,14.459
4850.651,14.175
4851.768,13.702
4852.886,12.408
4854.002,13.079
4855.119,15.102
4856.239,14.778
4857.356,14.962
4858.476,13.481
4859.594,13.226
4860.714,12.091
4861.833,13.157
4862.951,12.893
4864.072,13.549
4865.191,14.197
4866.313,15.09
4867.433,15.049
4868.555,13.523
4869.675,13.822
4870.795,14.334
4871.919,13.992
4873.04,14.293
4874.163,14.235
4875.285,14.556
4876.409,14.43
4877.531,13.335
4878.653,14.475
4879.778,13.975
4880.9,13.885
4882.026,13.757
4883.149,12.913
4884.275,11.951
4885.398,13.167
4886.522,14.656
4887.649,13.622
4888.773,13.201
4889.901,14.128
4891.026,14.303
4892.154,14.229
4893.279,14.581
4894.405,14.147
4895.534,13.917
4896.66,13.788
4897.789,12.703
4898.916,13.839
4900.045,14.667
4901.172,13.598
4902.3,14.909
4903.431,15.34
4904.559,14.717
4905.689,12.78
4906.818,13.495
4907.95,14.422
4909.079,14.152
4910.208,14.97
4911.34,13.388
4912.47,12.553
4913.603,14.15
4914.733,14.951
4915.867,12.995
4916.998,12.911
4918.131,12.882
4919.263,12.922
4920.395,14.626
4921.529,12.805
4922.661,12.583
4923.796,13.777
4924.929,13.546
4926.065,12.953
4927.198,12.883
4928.332,14.232
4929.468,13.809
4930.602,13.358
4931.739,12.247
4932.874,14.262
4934.011,14.349
4935.146,13.362
4936.281,13.964
4937.419,15.086
4938.556,15.689
4939.694,15.802
4940.831,14.903
4941.97,12.88
4943.107,14.331
4944.244,15.69
4945.384,15.027
4946.522,14.957
4947.663,13.145
4948.801,12.21
4949.942,13.111
4951.081,12.631
4952.22,14.599
4953.362,14.66
4954.501,13.365
4955.644,13.928
4956.784,12.823
4957.927,14.443
4959.067,13.001
4960.208,13.427
4961.352,14.354
4962.493,15.483
4963.638,15.312
4964.779,15.756
4965.924,15.553
4967.067,15.216
4968.209,14.518
4969.355,13.799
4970.498,15.6
4971.645,14.78
4972.788,13.854
4973.935,15.046
4975.079,13.829
4976.224,14.596
4977.371,15.382
4978.516,14.707
4979.664,13.115
4980.81,15.463
4981.958,15.618
4983.104,13.921
4984.251,13.585
4985.4,15.32
4986.547,14.452
4987.697,14.572
4988.844,13.44
4989.995,12.947
4991.143,12.835
4992.291,15.748
4993.442,13.41
4994.591,14.31
4995.743,14.714
4996.892,15.311
4998.044,16.521
4999.194,13.956
5000.344,16.324
5001.497,15.198
5002.647,14.022
5003.801,14.188
5004.952,13.704
5006.106,14.362
5007.258,12.822
5008.413,16.216
5009.565,13.714
5010.717,14.21
5011.873,13.022
5013.026,13.856
5014.182,15.051
5015.335,14.123
5016.492,14.657
5017.646,15.33
5018.8,14.934
5019.958,14.422
5021.112,13.77
5022.27,13.8
5023.426,13.962
5024.584,14.143
5025.74,14.666
5026.896,14.349
5028.055,13.087
5029.212,13.111
5030.372,13.984
5031.529,14.515
5032.689,14.255
5033.847,14.367
5035.005,15.592
5036.166,15.47
5037.325,14.876
5038.486,14.493
5039.646,13.761
5040.808,13.09
5041.967,13.229
5043.127,14.444
5044.29,13.702
5045.45,12.28
5046.614,14.511
5047.775,12.551
5048.939,12.945
5050.1,13.548
5051.262,13.028
5052.427,13.229
5053.589,13.706
5054.754,15.328
5055.917,13.522
5057.083,14.545
5058.247,14.631
5059.41,13.187
5060.577,13.443
5061.741,13.909
5062.908,14.207
5064.073,13.039
5065.241,14.38
5066.406,13.892
5067.572,12.885
5068.74,14.553
5069.906,15.848
5071.075,13.467
5072.242,12.487
5073.412,14.526
5074.579,14.192
5075.746,14.006
5076.917,12.813
5078.084,12.86
5079.255,12.83
5080.424,13.344
5081.596,12.971
5082.765,11.857
5083.934,13.573
5085.106,15.273
5086.276,15.498
5087.449,17.288
5088.619,13.326
5089.792,12.311
5090.963,13.633
5092.135,13.417
5093.309,12.914
5094.48,13.05
5095.655,11.958
5096.828,12.434
5098.003,12.286
5099.176,13.248
5100.352,13.5
5101.525,13.853
5102.699,12.768
5103.875,14.075
5105.049,13.084
5106.227,12.941
5107.401,12.967
5108.579,13.57
5109.754,12.546
5110.93,14.098
5112.108,13.268
5113.284,13.844
5114.463,14.481
5115.64,14.1
5116.82,12.663
5117.997,13.995
5119.174,13.966
5120.354,13.589
5121.533,15.584
5122.713,15.205
5123.892,14.864
5125.074,15.919
5126.252,13.514
5127.432,14.068
5128.614,14.269
5129.794,13.262
5130.977,13.881
5132.157,14.876
5133.341,13.672
5134.522,14.253
5135.703,15.444
5136.887,14.546
5138.069,13.476
5139.254,14.458
5140.436,13.954
5141.622,13.999
5142.804,14.656
5143.987,14.117
5145.174,13.384
5146.357,12.845
5147.544,13.172
5148.728,12.61
5149.916,13.346
5151.1,13.651
5152.285,13.206
5153.473,15.318
5154.659,15.565
5155.848,15.172
5157.034,15.721
5158.223,15.465
5159.41,15.345
5160.596,13.754
5161.786,13.939
5162.974,14.185
5164.165,12.585
5165.353,14.581
5166.543,14.847
5167.732,13.919
5168.921,14.692
5170.113,14.735
5171.302,14.948
5172.495,14.614
5173.685,14.717
5174.878,15.188
5176.068,16.438
5177.259,15.599
5178.453,14.764
5179.644,15.558
5180.838,14.324
5182.03,13.908
5183.225,15.616
5184.417,15.205
5185.61,14.158
5186.806,14.602
5188,15.164
5189.196,15.916
5190.39,17.512
5191.586,15.72
5192.781,15.391
5193.978,16.27
5195.173,14.528
5196.368,14.493
5197.566,15.147
5198.762,15.116
5199.961,14.668
5201.157,15.442
5202.356,15.311
5203.553,14.357
5204.75,15.457
5205.951,15.641
5207.148,14.729
5208.349,14.232
5209.547,14.075
5210.749,14.131
5211.947,13.187
5213.146,13.168
5214.348,12.772
5215.548,13.616
5216.75,13.756
5217.951,12.954
5219.154,14.736
5220.354,16.407
5221.556,13.867
5222.76,13.803
5223.961,15.299
5225.166,15.661
5226.368,13.6
5227.573,14.111
5228.775,14.52
5229.979,14.685
5231.185,13.854
5232.388,12.696
5233.594,14.986
5234.798,14.016
5236.005,14.755
5237.21,14.532
5238.415,14.085
5239.623,15.441
5240.828,16
5242.037,13.947
5243.243,13.684
5244.452,12.528
5245.658,13.978
5246.865,13.355
5248.075,13.446
5249.282,13.435
5250.493,14.255
5251.701,13.621
5252.912,14.535
5254.12,15.518
5255.329,14.275
5256.541,13.773
5257.75,13.897
5258.962,14.921
5260.172,13.807
5261.385,14.366
5262.596,12.246
5263.806,14.117
5265.02,14.193
5266.231,15.989
5267.446,13.925
5268.657,13.591
5269.872,11.282
5271.084,13.634
5272.297,13.374
5273.513,13.127
5274.726,13.546
5275.942,12.584
5277.156,14.038
5278.373,15.674
5279.587,15.542
5280.805,16.26
5282.02,14.178
5283.235,15.709
5284.453,13.2
5285.669,14.974
5286.888,14.359
5288.104,14.716
5289.323,15.172
5290.54,14.517
5291.757,16.183
5292.978,14.719
5294.195,15.632
5295.416,14.405
5296.634,13.433
5297.855,15.478
5299.074,13.535
5300.293,13.195
5301.516,15.386
5302.735,13.72
5303.958,14.108
5305.178,14.475
5306.401,14.549
5307.622,14.883
5308.843,15.779
5310.067,15.805
5311.289,15.975
5312.514,14.402
5313.736,14.364
5314.961,14.699
5316.184,13.342
5317.407,11.879
5318.633,14.422
5319.857,15.433
5321.083,15.586
5322.308,15.245
5323.535,15.886
5324.76,15.355
5325.984,14.541
5327.213,15.091
5328.438,14.88
5329.667,15.681
5330.893,14.627
5332.122,14.283
5333.349,14.201
5334.576,13.819
5335.806,14.268
5337.034,15.177
5338.264,14.959
5339.492,14.749
5340.724,15.545
5341.952,13.265
5343.181,13.472
5344.413,15.754
5345.643,12.929
5346.875,16.374
5348.105,12.757
5349.339,15.19
5350.569,14.271
5351.8,14.56
5353.034,14.651
5354.266,14.966
5355.5,15.655
5356.732,15.568
5357.968,14.372
5359.2,13.142
5360.433,14.077
5361.669,14.784
5362.903,12.491
5364.139,14.38
5365.374,11.262
5366.611,13.89
5367.845,14.307
5369.08,15.258
5370.318,15.524
5371.554,14.355
5372.792,14.681
5374.028,14.12
5375.268,13.551
5376.504,13.779
5377.744,15.697
5378.981,13.879
5380.218,13.761
5381.459,14.093
5382.697,14.728
5383.938,14.728
5385.177,13.794
