wavelength,flux
3790.531,0.769
3791.403,0.851
3792.277,0.932
3793.15,3.647
3794.022,0.433
3794.897,7.246
3795.77,6.898
3796.646,7.252
3797.519,1.203
3798.395,-3.881
3799.269,-1.751
3800.143,-2.976
3801.019,5.051
3801.893,2.887
3802.77,2.654
3803.645,4.662
3804.522,3.244
3805.397,2.972
3806.273,4.623
3807.15,4.09
3808.026,3.224
3808.904,4.206
3809.781,-3.861
3810.659,-6.342
3811.536,-7.794
3812.413,2.81
3813.292,3.665
3814.169,-0.954
3815.048,0.541
3815.926,-1.29
3816.806,1.179
3817.684,2.609
3818.562,-0.919
3819.443,-2.177
3820.322,3.297
3821.202,3.96
3822.082,3.153
3822.963,2.364
3823.842,-1.519
3824.724,3.59
3825.604,2.273
3826.484,7.002
3827.366,3.826
3828.247,3.881
3829.13,4.98
3830.01,3.778
3830.894,2.872
3831.775,2.795
3832.656,2.394
3833.54,1.632
3834.422,2.817
3835.306,5.052
3836.189,-0.41
3837.073,2.873
3837.956,6.196
3838.839,-0.688
3839.724,-4.357
3840.608,0.186
3841.493,-0.404
3842.377,1.039
3843.263,0.059
3844.147,1.426
3845.031,3.555
3845.918,4.335
3846.803,-0.706
3847.69,-3.379
3848.575,7.894
3849.463,5.135
3850.348,6.064
3851.234,1.716
3852.122,2.958
3853.008,1.042
3853.897,1.135
3854.783,3.875
3855.672,2.411
3856.559,-0.954
3857.446,0.59
3858.336,-0.195
3859.223,5.08
3860.114,5.355
3861.001,3.856
3861.892,-0.209
3862.78,-2.041
3863.669,0.639
3864.56,1.457
3865.449,0.778
3866.34,3.44
3867.23,1.521
3868.121,-0.484
3869.011,5.135
3869.901,1.983
3870.794,-1.55
3871.684,1.703
3872.577,3.56
3873.468,5.515
3874.361,1.15
3875.252,5.581
3876.144,1.174
3877.038,4.366
3877.93,4.247
3878.824,-0.241
3879.716,-0.947
3880.611,2.234
3881.504,2.671
3882.396,1.451
3883.292,4.029
3884.185,-2.257
3885.081,1.568
3885.975,2.257
3886.871,-0.749
3887.765,-2.023
3888.659,0.133
3889.556,2.707
3890.451,-0.848
3891.348,0.537
3892.243,1.082
3893.141,1.437
3894.036,-2.751
3894.934,-0.891
3895.83,2.026
3896.726,3.332
3897.625,4.508
3898.521,2.394
3899.421,4.826
3900.318,-2.052
3901.217,2.242
3902.115,4.523
3903.012,2.825
3903.912,0.586
3904.81,1.73
3905.711,2.904
3906.609,-1.299
3907.51,-1.26
3908.409,-1.666
3909.308,2.552
3910.21,2.977
3911.109,2.93
3912.011,-0.186
3912.911,-0.039
3913.813,4.542
3914.714,3.55
3915.614,-0.262
3916.517,5.1
3917.418,6.223
3918.322,3.24
3919.223,1.562
3920.127,2.847
3921.029,1.079
3921.931,3.595
3922.835,7.482
3923.737,0.984
3924.642,1.632
3925.545,2.985
3926.45,1.509
3927.354,5.465
3928.257,2.254
3929.163,4.249
3930.067,4.93
3930.973,0.518
3931.877,2.849
3932.784,-1.203
3933.689,4.283
3934.594,1.622
3935.501,5.824
3936.406,2.982
3937.314,-0.78
3938.22,-1.241
3939.128,2.528
3940.034,6.695
3940.941,4.622
3941.849,7.765
3942.756,4.744
3943.665,0.856
3944.573,2.087
3945.482,-1.658
3946.39,1.087
3947.298,5.519
3948.208,3.375
3949.116,2.236
3950.027,2.169
3950.936,1.61
3951.847,2.047
3952.756,1.222
3953.665,-0.853
3954.577,0.899
3955.487,3.132
3956.399,3.031
3957.309,2.383
3958.221,1.806
3959.132,0.884
3960.045,-1.365
3960.956,1.048
3961.867,3.479
3962.781,0.618
3963.692,2.969
3964.606,5.306
3965.519,2.044
3966.433,-0.025
3967.345,-0.257
3968.258,1.101
3969.173,0.205
3970.086,2.046
3971.002,1.605
3971.915,3.832
3972.831,5.598
3973.745,1.148
3974.659,-1.769
3975.576,3.249
3976.49,0.601
3977.407,5.085
3978.323,0.664
3979.24,-0.57
3980.155,2.914
3981.071,3.749
3981.989,4.571
3982.905,3.816
3983.823,0.248
3984.74,2.249
3985.659,-1.762
3986.576,4.456
3987.493,0.888
3988.412,0.538
3989.33,1.659
3990.25,1.49
3991.168,2.8
3992.088,2.674
3993.006,0.61
3993.925,3.885
3994.846,0.338
3995.765,0.798
3996.686,-0.694
3997.606,1.777
3998.528,4.922
3999.448,4.389
4000.367,2.464
4001.29,2.369
4002.21,3.154
4003.133,3.391
4004.054,2.16
4004.978,4.154
4005.899,3.645
4006.821,2.058
4007.745,4.068
4008.667,1.854
4009.591,-1.265
4010.513,2.149
4011.438,1.497
4012.361,-1.144
4013.284,1.294
4014.209,0.562
4015.133,-0.338
4016.059,0.778
4016.983,-0.12
4017.909,-0.05
4018.833,0.863
4019.758,1.626
4020.685,4.788
4021.61,0.379
4022.537,4.775
4023.462,4.8
4024.39,3.751
4025.316,4.615
4026.242,1.073
4027.17,1.035
4028.097,4.136
4029.026,1.078
4029.953,2.628
4030.882,1.214
4031.809,2.495
4032.739,0.227
4033.667,3.427
4034.595,2.333
