wavelength,flux
3802.77,12.203
3803.645,1.029
3804.522,3.715
3805.397,3.634
3806.273,5.868
3807.15,2.781
3808.026,1.127
3808.904,7.125
3809.781,7.558
3810.659,3.548
3811.536,1.955
3812.413,6.155
3813.292,6.442
3814.169,3.847
3815.048,1.698
3815.926,3.157
3816.806,3.568
3817.684,-0.171
3818.562,3.26
3819.443,2.051
3820.322,1.445
3821.202,6.911
3822.082,3.762
3822.963,0.304
3823.842,3.184
3824.724,5.957
3825.604,4.912
3826.484,6.715
3827.366,3.415
3828.247,5.72
3829.13,5.048
3830.01,3.697
3830.894,4.517
3831.775,4.9
3832.656,3.051
3833.54,0.688
3834.422,1.361
3835.306,6.253
3836.189,6.963
3837.073,2.4
3837.956,4.509
3838.839,3.446
3839.724,3.342
3840.608,5.93
3841.493,6.928
3842.377,6.243
3843.263,6.187
3844.147,3.093
3845.031,2.185
3845.918,2.722
3846.803,5.163
3847.69,7.029
3848.575,4.643
3849.463,4.255
3850.348,6.438
3851.234,2.004
3852.122,7.854
3853.008,5.692
3853.897,5.41
3854.783,5.638
3855.672,3.234
3856.559,3.044
3857.446,5.093
3858.336,4.996
3859.223,3.831
3860.114,2.761
3861.001,6.244
3861.892,1.307
3862.78,4.777
3863.669,6.366
3864.56,5.946
3865.449,6.918
3866.34,7.62
3867.23,5.145
3868.121,1.774
3869.011,2.621
3869.901,5.8
3870.794,7.651
3871.684,6.304
3872.577,6.837
3873.468,4.707
3874.361,3.142
3875.252,5.006
3876.144,3.021
3877.038,6.369
3877.93,4.204
3878.824,3.871
3879.716,5.302
3880.611,3.913
3881.504,5.528
3882.396,5.312
3883.292,2.655
3884.185,3.622
3885.081,5.891
3885.975,4.1
3886.871,1.549
3887.765,5.016
3888.659,10.879
3889.556,6.504
3890.451,1.881
3891.348,4.409
3892.243,6.231
3893.141,4.488
3894.036,5.467
3894.934,3.526
3895.83,6.993
3896.726,3.063
3897.625,6.993
3898.521,4.674
3899.421,3.809
3900.318,6.615
3901.217,1.052
3902.115,5.506
3903.012,3.68
3903.912,5.367
3904.81,7.231
3905.711,5.731
3906.609,4.45
3907.51,6.15
3908.409,7.445
3909.308,5.861
3910.21,4.428
3911.109,1.789
3912.011,5.125
