wavelength,flux
3808.904,15.812
3809.781,18.001
3810.659,9.467
3811.536,4.838
3812.413,3.728
3813.292,4.803
3814.169,6.22
3815.048,6.281
3815.926,10.653
3816.806,6.6
3817.684,3.042
3818.562,6.975
3819.443,8.811
3820.322,4.022
3821.202,6.419
3822.082,5.822
3822.963,0.038
3823.842,11.414
3824.724,5.503
3825.604,5.08
3826.484,8.492
3827.366,8.682
3828.247,10.109
3829.13,2.171
3830.01,3.929
3830.894,12.817
3831.775,8.485
3832.656,7.877
3833.54,8.215
3834.422,10.892
3835.306,8.677
3836.189,4.333
3837.073,8.631
3837.956,4.661
3838.839,6.293
3839.724,11.256
3840.608,5.788
3841.493,10.503
3842.377,10.614
3843.263,8.655
3844.147,11.11
3845.031,10.96
3845.918,7.134
3846.803,5.77
3847.69,11.24
3848.575,8.314
3849.463,17.706
3850.348,13.064
3851.234,6.237
3852.122,3.028
3853.008,3.105
3853.897,10.566
3854.783,11.557
3855.672,8.33
3856.559,1.405
3857.446,4.643
3858.336,3.63
3859.223,2.66
3860.114,6.905
3861.001,9.738
3861.892,7.591
3862.78,5.342
3863.669,2.1
3864.56,5.266
3865.449,8.717
3866.34,9.524
3867.23,9.381
3868.121,6.646
3869.011,10.699
3869.901,15.061
3870.794,7.545
3871.684,4.671
3872.577,11.688
3873.468,4.277
3874.361,11.904
3875.252,8.82
3876.144,5.558
3877.038,7.692
3877.93,10.621
3878.824,12.228
3879.716,11.848
3880.611,6.439
3881.504,6.494
3882.396,16.512
3883.292,12.559
3884.185,8.334
3885.081,9.571
3885.975,11.486
3886.871,11.922
3887.765,12.936
3888.659,14.161
3889.556,12.676
3890.451,8.721
3891.348,6.783
3892.243,8.781
3893.141,8.52
3894.036,11.677
3894.934,10.197
3895.83,8.307
3896.726,10.891
3897.625,5.997
3898.521,13.052
3899.421,13.944
3900.318,12.004
3901.217,15.115
3902.115,9.636
3903.012,7.894
3903.912,8.604
3904.81,9.627
3905.711,12.512
3906.609,7.795
3907.51,6.38
3908.409,13.402
3909.308,5.283
3910.21,6.017
3911.109,8.445
3912.011,7.065
3912.911,5.425
